idx,sign,k,p_bad
1041,1,4.0,0.00067964935
1041,-1,4.0,0.00044424113
1041,1,6.0,0.014782151
1041,-1,6.0,0.0047829333
1240,1,0.5,0.6245475
1240,-1,0.5,0.62966484
1240,1,1.0,0.9099366
1240,-1,1.0,0.93326527
1240,1,2.0,0.9802341
1240,-1,2.0,0.95775586
1240,1,3.0,0.99271387
1240,-1,3.0,0.95775586
1240,1,4.0,0.9961384
1240,-1,4.0,0.95775586
1240,1,6.0,0.9990119
1240,-1,6.0,0.95775586
570,1,0.5,7.059592e-05
570,-1,0.5,3.1742027e-05
570,1,1.0,0.00049124187
570,-1,1.0,7.1871254e-05
570,1,2.0,0.007904886
570,-1,2.0,0.0008008668
570,1,3.0,0.05386068
570,-1,3.0,0.014735743
570,1,4.0,0.17167017
570,-1,4.0,0.12562837
570,1,6.0,0.6708062
570,-1,6.0,0.12562837
697,1,0.5,0.10823278
697,-1,0.5,0.10573075
697,1,1.0,0.58953756
697,-1,1.0,0.60234094
697,1,2.0,0.8858374
697,-1,2.0,0.97034204
697,1,3.0,0.95201504
697,-1,3.0,0.97034204
697,1,4.0,0.97783625
697,-1,4.0,0.97034204
697,1,6.0,0.9948179
697,-1,6.0,0.97034204
276,1,0.5,0.15210068
276,-1,0.5,0.17705452
276,1,1.0,0.62435985
276,-1,1.0,0.6795479
276,1,2.0,0.8810645
276,-1,2.0,0.9894426
276,1,3.0,0.9527912
276,-1,3.0,0.9894426
276,1,4.0,0.97987247
276,-1,4.0,0.9894426
276,1,6.0,0.99578
276,-1,6.0,0.9894426
836,1,0.5,0.052961864
836,-1,0.5,0.8919845
836,1,1.0,0.7373943
836,-1,1.0,0.98875916
836,1,2.0,0.93773144
836,-1,2.0,0.9932458
836,1,3.0,0.9758828
836,-1,3.0,0.9932458
836,1,4.0,0.98881674
836,-1,4.0,0.9932458
836,1,6.0,0.99739933
836,-1,6.0,0.9932458
608,1,0.5,0.069456354
608,-1,0.5,0.08658324
608,1,1.0,0.3501481
608,-1,1.0,0.25965
608,1,2.0,0.7604781
608,-1,2.0,0.8162661
608,1,3.0,0.90796375
608,-1,3.0,0.8162661
608,1,4.0,0.9529377
608,-1,4.0,0.8162661
608,1,6.0,0.9868781
608,-1,6.0,0.8162661
1323,1,0.5,0.077531576
1323,-1,0.5,0.10775964
1323,1,1.0,0.5269446
1323,-1,1.0,0.5905026
1323,1,2.0,0.88795465
1323,-1,2.0,0.9424122
1323,1,3.0,0.9558762
1323,-1,3.0,0.9424122
1323,1,4.0,0.97698796
1323,-1,4.0,0.9424122
1323,1,6.0,0.99393094
1323,-1,6.0,0.9424122
515,1,0.5,9.33865e-05
515,-1,0.5,0.0018743632
515,1,1.0,0.00063704245
515,-1,1.0,0.0072216718
515,1,2.0,0.022225602
515,-1,2.0,0.114869036
515,1,3.0,0.22889951
515,-1,3.0,0.69440645
515,1,4.0,0.6351612
515,-1,4.0,0.69440645
515,1,6.0,0.9459468
515,-1,6.0,0.69440645
45,1,0.5,0.043608934
45,-1,0.5,0.09448425
45,1,1.0,0.33350977
45,-1,1.0,0.50706685
45,1,2.0,0.8112998
45,-1,2.0,0.9685149
45,1,3.0,0.9136443
45,-1,3.0,0.9685149
45,1,4.0,0.95712006
45,-1,4.0,0.9685149
45,1,6.0,0.99008906
45,-1,6.0,0.9685149
939,1,0.5,0.031943556
939,-1,0.5,0.5951174
939,1,1.0,0.44985393
939,-1,1.0,0.94136953
939,1,2.0,0.8775817
939,-1,2.0,0.98322994
939,1,3.0,0.953131
939,-1,3.0,0.98322994
939,1,4.0,0.9786565
939,-1,4.0,0.98322994
939,1,6.0,0.99554837
939,-1,6.0,0.98322994
952,1,0.5,0.18182771
952,-1,0.5,0.23934297
952,1,1.0,0.73943746
952,-1,1.0,0.6650253
952,1,2.0,0.94019985
952,-1,2.0,0.8569788
952,1,3.0,0.98152924
952,-1,3.0,0.8569788
952,1,4.0,0.9924199
952,-1,4.0,0.8569788
